module_id,trait_in,trait_out,in_name,out_name,subpathway_cn,subpathway_en,pathway_class,rule_confidence,ratio_trait,direction_sign,suggested_forward_ratio_expr,suggested_reverse_ratio_expr,suggested_forward_ratio_name,suggested_reverse_ratio_name,fill_rule,note,norm_fwd,norm_rev
M_13,GCST90200447,GCST90200440,Maltose,Glucose,己糖/二糖支路,Hexose/Disaccharide Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,高,GCST90200781,1.0,GCST90200440 / GCST90200447,GCST90200447 / GCST90200440,Glucose / Maltose,Maltose / Glucose,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200440/gcst90200447,gcst90200447/gcst90200440
M_14,GCST90200449,GCST90200437,Sucrose,Fructose,己糖/二糖支路,Hexose/Disaccharide Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,高,GCST90200916,1.0,GCST90200437 / GCST90200449,GCST90200449 / GCST90200437,Fructose / Sucrose,Sucrose / Fructose,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200437/gcst90200449,gcst90200449/gcst90200437
M_15,GCST90200449,GCST90200440,Sucrose,Glucose,己糖/二糖支路,Hexose/Disaccharide Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,高,GCST90200913,1.0,GCST90200440 / GCST90200449,GCST90200449 / GCST90200440,Glucose / Sucrose,Sucrose / Glucose,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200440/gcst90200449,gcst90200449/gcst90200440
M_16,GCST90199678,GCST90200440,Tartronate (hydroxymalonate),Glucose,多元醇/糖醛酸支路,Polyol/Uronic Acid Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,低,,,GCST90200440 / GCST90199678,GCST90199678 / GCST90200440,Glucose / Tartronate (hydroxymalonate),Tartronate (hydroxymalonate) / Glucose,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200440/gcst90199678,gcst90199678/gcst90200440
M_17,GCST90199687,GCST90200440,Threonate,Glucose,多元醇/糖醛酸支路,Polyol/Uronic Acid Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,低,,,GCST90200440 / GCST90199687,GCST90199687 / GCST90200440,Glucose / Threonate,Threonate / Glucose,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200440/gcst90199687,gcst90199687/gcst90200440
M_18,GCST90199667,GCST90200440,Erythritol,Glucose,多元醇/糖醛酸支路,Polyol/Uronic Acid Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,低,,,GCST90200440 / GCST90199667,GCST90199667 / GCST90200440,Glucose / Erythritol,Erythritol / Glucose,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200440/gcst90199667,gcst90199667/gcst90200440
M_19,GCST90199642,GCST90200011,Ribitol,Arabitol/xylitol,多元醇/糖醛酸支路,Polyol/Uronic Acid Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,低,,,GCST90200011 / GCST90199642,GCST90199642 / GCST90200011,Arabitol/xylitol / Ribitol,Ribitol / Arabitol/xylitol,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200011/gcst90199642,gcst90199642/gcst90200011
M_20,GCST90199797,GCST90200440,Gulonate,Glucose,多元醇/糖醛酸支路,Polyol/Uronic Acid Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,低,,,GCST90200440 / GCST90199797,GCST90199797 / GCST90200440,Glucose / Gulonate,Gulonate / Glucose,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200440/gcst90199797,gcst90199797/gcst90200440
M_21,GCST90199818,GCST90200435,Mannitol/sorbitol,Mannose,多元醇/糖醛酸支路,Polyol/Uronic Acid Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,中,,,GCST90200435 / GCST90199818,GCST90199818 / GCST90200435,Mannose / Mannitol/sorbitol,Mannitol/sorbitol / Mannose,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200435/gcst90199818,gcst90199818/gcst90200435
M_22,GCST90199818,GCST90200437,Mannitol/sorbitol,Fructose,多元醇/糖醛酸支路,Polyol/Uronic Acid Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,高,,,GCST90200437 / GCST90199818,GCST90199818 / GCST90200437,Fructose / Mannitol/sorbitol,Mannitol/sorbitol / Fructose,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200437/gcst90199818,gcst90199818/gcst90200437
M_23,GCST90199695,GCST90200440,Galactonate,Glucose,多元醇/糖醛酸支路,Polyol/Uronic Acid Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,低,,,GCST90200440 / GCST90199695,GCST90199695 / GCST90200440,Glucose / Galactonate,Galactonate / Glucose,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200440/gcst90199695,gcst90199695/gcst90200440
M_24,GCST90199746,GCST90200440,Erythronate,Glucose,多元醇/糖醛酸支路,Polyol/Uronic Acid Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,低,,,GCST90200440 / GCST90199746,GCST90199746 / GCST90200440,Glucose / Erythronate,Erythronate / Glucose,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200440/gcst90199746,gcst90199746/gcst90200440
M_25,GCST90200011,GCST90199991,Arabitol/xylitol,Arabonate/xylonate,多元醇/糖醛酸支路,Polyol/Uronic Acid Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,中,,,GCST90199991 / GCST90200011,GCST90200011 / GCST90199991,Arabonate/xylonate / Arabitol/xylitol,Arabitol/xylitol / Arabonate/xylonate,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90199991/gcst90200011,gcst90200011/gcst90199991
M_26,GCST90199991,GCST90200011,Arabonate/xylonate,Arabitol/xylitol,多元醇/糖醛酸支路,Polyol/Uronic Acid Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,中,,,GCST90200011 / GCST90199991,GCST90199991 / GCST90200011,Arabitol/xylitol / Arabonate/xylonate,Arabonate/xylonate / Arabitol/xylitol,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200011/gcst90199991,gcst90199991/gcst90200011
M_27,GCST90199932,GCST90200435,Mannonate,Mannose,多元醇/糖醛酸支路,Polyol/Uronic Acid Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,高,,,GCST90200435 / GCST90199932,GCST90199932 / GCST90200435,Mannose / Mannonate,Mannonate / Mannose,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200435/gcst90199932,gcst90199932/gcst90200435
M_28,GCST90199638,GCST90200325,Glycerol 3-phosphate,Glycerol,甘油酸/三碳糖支路,Glycerate/Triose Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,中,GCST90200836,1.0,GCST90200325 / GCST90199638,GCST90199638 / GCST90200325,Glycerol / Glycerol 3-phosphate,Glycerol 3-phosphate / Glycerol,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200325/gcst90199638,gcst90199638/gcst90200325
M_29,GCST90199638,GCST90200329,Glycerol 3-phosphate,3-phosphoglycerate,甘油酸/三碳糖支路,Glycerate/Triose Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,高,,,GCST90200329 / GCST90199638,GCST90199638 / GCST90200329,3-phosphoglycerate / Glycerol 3-phosphate,Glycerol 3-phosphate / 3-phosphoglycerate,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200329/gcst90199638,gcst90199638/gcst90200329
M_30,GCST90200325,GCST90199638,Glycerol,Glycerol 3-phosphate,甘油酸/三碳糖支路,Glycerate/Triose Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,高,GCST90200836,-1.0,GCST90199638 / GCST90200325,GCST90200325 / GCST90199638,Glycerol 3-phosphate / Glycerol,Glycerol / Glycerol 3-phosphate,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90199638/gcst90200325,gcst90200325/gcst90199638
M_31,GCST90200329,GCST90200290,3-phosphoglycerate,Glycerate,甘油酸/三碳糖支路,Glycerate/Triose Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,高,GCST90200819,-1.0,GCST90200290 / GCST90200329,GCST90200329 / GCST90200290,Glycerate / 3-phosphoglycerate,3-phosphoglycerate / Glycerate,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200290/gcst90200329,gcst90200329/gcst90200290
M_32,GCST90200329,GCST90200430,3-phosphoglycerate,Pyruvate,甘油酸/三碳糖支路,Glycerate/Triose Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,高,,,GCST90200430 / GCST90200329,GCST90200329 / GCST90200430,Pyruvate / 3-phosphoglycerate,3-phosphoglycerate / Pyruvate,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200430/gcst90200329,gcst90200329/gcst90200430
M_33,GCST90200290,GCST90200329,Glycerate,3-phosphoglycerate,甘油酸/三碳糖支路,Glycerate/Triose Branch,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,高,GCST90200819,1.0,GCST90200329 / GCST90200290,GCST90200290 / GCST90200329,3-phosphoglycerate / Glycerate,Glycerate / 3-phosphoglycerate,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200329/gcst90200290,gcst90200290/gcst90200329
M_34,GCST90199978,GCST90200408,Vanillactate,Lactate,乳酸/丙酮酸相关,Lactate/Pyruvate Related,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,中,,,GCST90200408 / GCST90199978,GCST90199978 / GCST90200408,Lactate / Vanillactate,Vanillactate / Lactate,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200408/gcst90199978,gcst90199978/gcst90200408
M_35,GCST90200371,GCST90200300,3-(4-hydroxyphenyl)lactate,4-hydroxyphenylpyruvate,乳酸/丙酮酸相关,Lactate/Pyruvate Related,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,中,,,GCST90200300 / GCST90200371,GCST90200371 / GCST90200300,4-hydroxyphenylpyruvate / 3-(4-hydroxyphenyl)lactate,3-(4-hydroxyphenyl)lactate / 4-hydroxyphenylpyruvate,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200300/gcst90200371,gcst90200371/gcst90200300
M_36,GCST90200408,GCST90200430,Lactate,Pyruvate,乳酸/丙酮酸相关,Lactate/Pyruvate Related,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,高,,,GCST90200430 / GCST90200408,GCST90200408 / GCST90200430,Pyruvate / Lactate,Lactate / Pyruvate,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200430/gcst90200408,gcst90200408/gcst90200430
M_37,GCST90200408,GCST90199978,Lactate,Vanillactate,乳酸/丙酮酸相关,Lactate/Pyruvate Related,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,中,,,GCST90199978 / GCST90200408,GCST90200408 / GCST90199978,Vanillactate / Lactate,Lactate / Vanillactate,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90199978/gcst90200408,gcst90200408/gcst90199978
M_38,GCST90200259,GCST90199641,Pentose acid,Glucuronate,其他/待定,Other/Undetermined,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,低,,,GCST90199641 / GCST90200259,GCST90200259 / GCST90199641,Glucuronate / Pentose acid,Pentose acid / Glucuronate,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90199641/gcst90200259,gcst90200259/gcst90199641
M_39,GCST90200373,GCST90199641,Gluconate,Glucuronate,其他/待定,Other/Undetermined,中心碳水化合物代谢（糖酵解/糖异生/磷酸戊糖途径）,低,,,GCST90199641 / GCST90200373,GCST90200373 / GCST90199641,Glucuronate / Gluconate,Gluconate / Glucuronate,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90199641/gcst90200373,gcst90200373/gcst90199641
M_40,GCST90199676,GCST90200325,1-oleoylglycerol (18:1),Glycerol,甘油酸/三碳糖支路,Glycerate/Triose Branch,脂肪酸二羧酸/羟基脂肪酸与酮体代谢,高,,,GCST90200325 / GCST90199676,GCST90199676 / GCST90200325,Glycerol / 1-oleoylglycerol (18:1),1-oleoylglycerol (18:1) / Glycerol,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200325/gcst90199676,gcst90199676/gcst90200325
M_41,GCST90199684,GCST90200325,1-linoleoylglycerol (18:2),Glycerol,甘油酸/三碳糖支路,Glycerate/Triose Branch,脂肪酸二羧酸/羟基脂肪酸与酮体代谢,高,,,GCST90200325 / GCST90199684,GCST90199684 / GCST90200325,Glycerol / 1-linoleoylglycerol (18:2),1-linoleoylglycerol (18:2) / Glycerol,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200325/gcst90199684,gcst90199684/gcst90200325
M_42,GCST90199685,GCST90200325,2-linoleoylglycerol (18:2),Glycerol,甘油酸/三碳糖支路,Glycerate/Triose Branch,脂肪酸二羧酸/羟基脂肪酸与酮体代谢,高,,,GCST90200325 / GCST90199685,GCST90199685 / GCST90200325,Glycerol / 2-linoleoylglycerol (18:2),2-linoleoylglycerol (18:2) / Glycerol,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200325/gcst90199685,gcst90199685/gcst90200325
M_43,GCST90199770,GCST90200325,1-arachidonylglycerol (20:4),Glycerol,甘油酸/三碳糖支路,Glycerate/Triose Branch,脂肪酸二羧酸/羟基脂肪酸与酮体代谢,高,,,GCST90200325 / GCST90199770,GCST90199770 / GCST90200325,Glycerol / 1-arachidonylglycerol (20:4),1-arachidonylglycerol (20:4) / Glycerol,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200325/gcst90199770,gcst90199770/gcst90200325
M_44,GCST90199914,GCST90200325,Oleoyl-linoleoyl-glycerol (18:1/18:2) [2],Glycerol,甘油酸/三碳糖支路,Glycerate/Triose Branch,脂肪酸二羧酸/羟基脂肪酸与酮体代谢,高,,,GCST90200325 / GCST90199914,GCST90199914 / GCST90200325,Glycerol / Oleoyl-linoleoyl-glycerol (18:1/18:2) [2],Oleoyl-linoleoyl-glycerol (18:1/18:2) [2] / Glycerol,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200325/gcst90199914,gcst90199914/gcst90200325
M_45,GCST90200103,GCST90200325,Linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1],Glycerol,甘油酸/三碳糖支路,Glycerate/Triose Branch,脂肪酸二羧酸/羟基脂肪酸与酮体代谢,高,,,GCST90200325 / GCST90200103,GCST90200103 / GCST90200325,Glycerol / Linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1],Linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1] / Glycerol,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200325/gcst90200103,gcst90200103/gcst90200325
M_46,GCST90200109,GCST90200325,Linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2],Glycerol,甘油酸/三碳糖支路,Glycerate/Triose Branch,脂肪酸二羧酸/羟基脂肪酸与酮体代谢,高,,,GCST90200325 / GCST90200109,GCST90200109 / GCST90200325,Glycerol / Linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2],Linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2] / Glycerol,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200325/gcst90200109,gcst90200109/gcst90200325
M_47,GCST90200036,GCST90200325,1-palmitoleoylglycerol (16:1),Glycerol,甘油酸/三碳糖支路,Glycerate/Triose Branch,脂肪酸二羧酸/羟基脂肪酸与酮体代谢,高,,,GCST90200325 / GCST90200036,GCST90200036 / GCST90200325,Glycerol / 1-palmitoleoylglycerol (16:1),1-palmitoleoylglycerol (16:1) / Glycerol,若 ratio_trait 表示 out/in，则 direction_sign=+1；若表示 in/out，则 direction_sign=-1；若该模块无合适 ratio，则留空。,"Fill +1 for out/in-like forward support, -1 for in/out-like reverse support",gcst90200325/gcst90200036,gcst90200036/gcst90200325
